NZL,2000,94.0,100.0,0.13333333333333333,0.1,0.03333333333333333,8.0
DNK,2000,98.0,100.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,9.0
FIN,2000,100.0,100.0,0.06666666666666667,0.2,0.2,15.0
NOR,2000,91.0,100.0,0.13333333333333333,0.0,0.03333333333333333,5.0
CHE,2000,86.0,100.0,0.13333333333333333,0.06666666666666667,0.06666666666666667,8.0
SGP,2000,91.0,100.0,0.8666666666666667,0.6,0.7333333333333333,66.0
SWE,2000,94.0,100.0,0.13333333333333333,0.06666666666666667,0.13333333333333333,11.0
CAN,2000,92.0,100.0,0.1,0.13333333333333333,0.16666666666666666,14.0
LUX,2000,86.0,100.0,0.06666666666666667,0.13333333333333333,0.13333333333333333,10.0
NLD,2000,89.0,100.0,0.2,0.13333333333333333,0.13333333333333333,14.0
GBR,2000,87.0,100.0,0.23333333333333334,0.2,0.23333333333333334,20.0
DEU,2000,76.0,100.0,0.2,0.13333333333333333,0.1,13.0
AUS,2000,83.0,100.0,0.06666666666666667,0.06666666666666667,0.2,10.0
ISL,2000,91.0,100.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,12.0
AUT,2000,77.0,100.0,0.2,0.13333333333333333,0.06666666666666667,12.0
BEL,2000,61.0,100.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,9.0
IRL,2000,72.0,100.0,0.2,0.2,0.26666666666666666,21.0
JPN,2000,64.0,100.0,0.06666666666666667,0.4,0.16666666666666666,19.0
EST,2000,57.0,100.0,0.16666666666666666,0.2,0.3,20.0
FRA,2000,67.0,100.0,0.06666666666666667,0.3333333333333333,0.3,24.0
CHL,2000,74.0,97.938687,0.3,0.3333333333333333,0.23333333333333334,27.0
PRT,2000,64.0,100.0,0.3,0.13333333333333333,0.13333333333333333,17.0
ISR,2000,66.0,100.0,0.36666666666666664,0.26666666666666666,0.13333333333333333,30.0
BWA,2000,60.0,27.2410316467285,0.3333333333333333,0.3,0.23333333333333334,28.0
SVN,2000,55.0,100.0,0.2,0.3333333333333333,0.36666666666666664,27.0
POL,2000,41.0,100.0,0.26666666666666666,0.23333333333333334,0.13333333333333333,19.0
CRI,2000,54.0,0.0,0.16666666666666666,0.13333333333333333,0.23333333333333334,16.0
LTU,2000,41.0,100.0,0.16666666666666666,0.23333333333333334,0.26666666666666666,20.0
LVA,2000,34.0,100.0,0.13333333333333333,0.3,0.3333333333333333,24.0
CZE,2000,43.0,100.0,0.2,0.26666666666666666,0.16666666666666666,20.0
ESP,2000,70.0,100.0,0.2,0.23333333333333334,0.13333333333333333,18.0
NAM,2000,54.0,36.5,0.2,0.7333333333333333,0.1,34.0
ITA,2000,46.0,100.0,0.06666666666666667,0.43333333333333335,0.4,27.0
MUS,2000,47.0,99.0,0.36666666666666664,0.2,0.0,17.0
SVK,2000,35.0,100.0,0.5,0.2,0.26666666666666666,30.0
HRV,2000,37.0,100.0,0.8,0.7333333333333333,0.43333333333333335,63.0
GRC,2000,49.0,100.0,0.3333333333333333,0.3333333333333333,0.13333333333333333,30.0
JOR,2000,46.0,98.6792678833008,0.8,0.6333333333333333,0.3333333333333333,57.0
ROU,2000,29.0,100.0,0.3333333333333333,0.4666666666666667,0.5,44.0
MYS,2000,48.0,0.0,0.7,0.9666666666666667,0.4,70.0
HUN,2000,52.0,100.0,0.16666666666666666,0.4,0.23333333333333334,30.0
SEN,2000,35.0,37.74,0.4666666666666667,0.3333333333333333,0.3,33.0
BLR,2000,41.0,100.0,0.8666666666666667,0.9333333333333333,0.5333333333333333,80.0
BGR,2000,35.0,100.0,0.36666666666666664,0.26666666666666666,0.3,30.0
ZAF,2000,50.0,71.7242736816406,0.26666666666666666,0.4,0.13333333333333333,25.0
BFA,2000,30.0,9.19123458862305,0.5,0.4,0.3333333333333333,40.0
TUN,2000,52.0,94.8,1.0,1.0,0.3,74.0
CHN,2000,31.0,96.6383895874023,1.0,0.9333333333333333,0.5,80.0
GHA,2000,35.0,43.7,0.6666666666666666,0.7,0.5,61.0
IND,2000,28.0,59.3618507385254,0.13333333333333333,0.5666666666666667,0.36666666666666664,42.0
MAR,2000,47.0,69.7939758300781,0.7333333333333333,0.5333333333333333,0.3333333333333333,49.0
TUR,2000,38.0,0.0,0.7333333333333333,0.6666666666666666,0.36666666666666664,58.0
ARG,2000,35.0,0.0,0.3333333333333333,0.5333333333333333,0.26666666666666666,41.0
BRA,2000,39.0,94.3932952880859,0.26666666666666666,0.43333333333333335,0.36666666666666664,33.0
COL,2000,32.0,95.2,0.6,0.7666666666666667,0.3333333333333333,59.0
IDN,2000,17.0,86.3,0.6333333333333333,0.3333333333333333,0.4,49.0
PER,2000,44.0,72.496495,0.8333333333333334,0.7333333333333333,0.3333333333333333,67.0
THA,2000,32.0,82.1,0.4,0.3,0.23333333333333334,30.0
ZMB,2000,34.0,16.7,0.6333333333333333,0.9,0.36666666666666664,62.0
TZA,2000,25.0,9.5868501663208,0.7,0.5333333333333333,0.26666666666666666,49.0
ARM,2000,25.0,98.9,0.5333333333333333,0.7,0.6333333333333333,57.0
ETH,2000,32.0,12.7,0.6666666666666666,0.7666666666666667,0.4666666666666667,62.0
VNM,2000,25.0,86.2646713256836,1.0,1.0,0.3333333333333333,75.0
PHL,2000,28.0,74.7554321289063,0.3333333333333333,0.4,0.2,30.0
BOL,2000,27.0,69.963045,0.26666666666666666,0.2,0.13333333333333333,22.0
SLV,2000,41.0,84.519249,0.43333333333333335,0.4666666666666667,0.43333333333333335,40.0
ECU,2000,26.0,93.4686889648438,0.5333333333333333,0.6,0.26666666666666666,44.0
AZE,2000,15.0,98.9082224496759,0.6,0.8,0.6666666666666666,70.0
KAZ,2000,30.0,99.0770874023438,0.7666666666666667,0.7666666666666667,0.3,68.0
MWI,2000,41.0,4.8,0.7,0.5333333333333333,0.3333333333333333,52.0
MDA,2000,26.0,100.0,0.8333333333333334,0.5,0.5333333333333333,58.0
UKR,2000,15.0,100.0,0.6,0.6333333333333333,0.43333333333333335,60.0
MEX,2000,33.0,98.007132,0.3333333333333333,0.8,0.5,50.0
KEN,2000,21.0,15.3288793563843,0.7333333333333333,1.0,0.4,70.0
NGA,2000,12.0,42.7483100891113,0.5333333333333333,0.36666666666666664,0.6,53.0
UGA,2000,23.0,8.16897773742676,0.6,0.5666666666666667,0.1,40.0
CMR,2000,20.0,41.0,0.8333333333333334,0.7666666666666667,0.6333333333333333,77.0
MOZ,2000,22.0,6.69218778610229,0.5,0.6666666666666666,0.3333333333333333,48.0
UZB,2000,24.0,99.5979156494141,1.0,0.9666666666666667,0.6666666666666666,83.0
ZWE,2000,30.0,33.8660354614258,0.7666666666666667,0.8333333333333334,0.4666666666666667,67.0
AGO,2000,17.0,0.0,1.0,0.8666666666666667,0.4666666666666667,80.0
NZL,2001,94.0,100.0,0.1,0.1,0.06666666666666667,8.0
DNK,2001,95.0,100.0,0.06666666666666667,0.06666666666666667,0.16666666666666666,9.0
